ID,Preise,Shortlist?,Schriftart
SibylleSeverus1998,,,
RalfBönt1998,3sat,,
SilviaSzymanski1998,,,
JohnvonDüffel1998,Ernst Willner,,
TimStaffel1998,,,
LeanderScholz1998,,,
KurtBracharz1998,,,
MargitSchreiner1998,Kärnten,,
KathrinSchmidt1998,,,
SibylleLewitscharoff1998,Bachmann,,
OliviaKleinknecht1998,,,
InkaBach1998,,,
ChristianPaulBerger1998,,,
ChristianFutscher1998,,,
JanLurvink1998,,,
BrunoSteiger1997,,,
GilaLustiger1997,,,
NorbertNiemann1997,Bachmann,,
MarcusBraun1997,,,
WolfgangSchlüter1997,,,
BettinaGalvagni1997,Ernst Willner,,
ElisabethReichart1997,,,
ZoëJenny1997,3sat,,
ThorstenTornow1997,,,
SteffenKopetzky1997,Kärnten,,
LeopoldFedermair1997,,,
GionMathiasCavelty1997,,,
ThomasMeinecke1997,,,
PeterPSchwaiger1997,,,
TimKrohn1997,,,
UlrichZieger1997,,,
HansjörgZauner1996,,,
FelicitasHoppe1996,Ernst Willner,,
SissiTax1996,,,
ArnoGeiger1996,,,
HeikoMichaelHartmann1996,3sat,,
KurtAebli1996,,,
SonjaRöder1996,,,
JohannesJansen1996,Kärnten,,
AdelheidDahimène1996,,,
JürgBeeler1996,,,
AlbanNikolaiHerbst1996,,,
LydiaMischkulnig1996,Bertelsmann,,
AlexMuggler1996,,,
HerbertMaurer1996,,,
IngoSchramm1996,,,
AndreasMand1996,,,
RichardObermayr1996,,,
JosefWinkler1996,,,
YokoTawada1996,,,
PeterHenning1996,,,
JanPeterBremer1996,Bachmann,,
SonjaRuf1996,,,
HanspeterBundi1995,,,
EnricoDanieli1995,,,
GundiFeyrer1995,3sat,,
Franzobel1995,Bachmann,,
EvelynGrill1995,,,
KlausHändl1995,,,
JoachimHelfer1995,,,
ReinhardJirgl1995,,,
VolkerKaminski1995,,,
RadekKnapp1995,,,
UlrikeKolb1995,Kärnten,,
MariellaMehr1995,,,
PeriklesMonioudis1995,,,
PetraMorsbach1995,,,
AndreasNeumeister1995,,,
GeorgMartinOswald1995,,,
GeorgPichler1995,,,
IngoSchulze1995,Ernst Willner,,
MarionTitze1995,,,
IlijaTrojanow1995,Bertelsmann,,
MonikaWogrolly1995,,,
WolfgangWenger1995,,,
HansUlrichBänziger1994,,,
BerndCailloux1994,,,
RetoHänny1994,Bachmann,,
JosefHaslinger1994,,,
PaulusHochgatterer1994,,,
KarinaKranhold1994,,,
DagmarLeupold1994,,,
StefanieMenzinger1994,Ernst Willner,,
KlausModick1994,,,
SibylleMulot1994,,,
HeidivonPlato1994,,,
DoronRabinovici1994,3sat,,
UrsRichle1994,,,
KatharinaRiese1994,,,
GeorgRingsgwandl1994,,,
KathrinRöggla1994,,,
RaoulSchrott1994,Kärnten,,
FrankSchulz1994,,,
RuthSchweikert1994,Bertelsmann,,
AndreaSimmen1994,,,
BerndWagner1994,,,
AndreaWorek1994,,,
MatthiasAltenburg1993,,,
DirkBrauns1993,3sat-Stipendium,,
JanPeterBremer1993,Bertelsmann-Stipendium,,
KurtDrawert1993,Bachmann,,
SusanneGeiger1993,,,
SabineGruber1993,,,
ChristinaGünther1993,,,
RudolfHabringer1993,,,
HannaJohansen1993,Kärnten,,
ReinhardKaiser1993,,,
SandraKellein1993,Ernst Willner,,
MichaelKleeberg1993,,,
BettinaKlix1993,,,
GabrieleKögl1993,,,
HelmutKrausser1993,,,
LudwigLaher1993,,,
ThomasLehr1993,,,
DirkvonPetersdorff1993,,,
BenjaminStein1993,,,
WilfriedSteiner1993,,,
HansUlrichTreichel1993,,,
ChristinaViragh1993,,,
MartinAhrends1992,,,
FriedrichAni1992,,,
NorbertBleisch1992,,,
BiancaDöring1992,,,
ManfredFlügge1992,,,
LiobaHappel1992,,,
ChristaHein1992,,,
WolfgangHermann1992,,,
UlrichHolbein1992,Ernst Willner,,
AloisHotschnig1992,Kärnten,,
ChristophJanacs1992,,,
JanKoneffke1992,,,
FritzKrenn1992,3sat-Stipendium,,
RogerLille1992,,,
ManfredMaurer1992,,,
AndreasNeumeister1992,,,
UlrichPeltzer1992,Stipendium der Verlage,,
SabineScholl1992,,,
BurkhardSpinnen1992,Stipendium der Kärntner Industrie,,
GinkaSteinwachs1992,,,
AlissaWalser1992,Bachmann,,
KurtAebli1991,,,
GabrielleAlioth1991,,,
UrsAllemann1991,Kärnten,,
MarcelBeyer1991,Ernst Willner,,
MichaelEberth1991,,,
HellaEckert1991,,,
HubertKonradFrank1991,Stipendium der Kärntner Industrie,,
WalterGnelli1991,,,
DursGrünbein1991,,,
RolandKoch1991,,,
JudithKuckart1991,,,
SabineKüchler1991,,,
UlrikeLängle1991,,,
FHendrickMelle1991,,,
FrancescoMicieli1991,,,
WolfgangMörth1991,,,
EmineSevgiÖzdamar1991,Bachmann,,
MatthiasPolitycki1991,,,
TheresRothHunkeler1991,3sat-Stipendium,,
Said1991,,,
LudgerSchwarte1991,,,
PeterWawerzinek1991,Stipendium der Verlage,,
AlainClaudeSulzer1990,,,
FranzHodjak1990,Kärnten,,
SusanneRöckel1990,,,
StefanTomas1990,,,
WGSebald1990,,,
EleonoreFrey1990,,,
LudwigRomanFleischer1990,Ernst Willner,,
FritzJochenKopka1990,,,
ChristophBuggert1990,,,
PiekeBiermann1990,3sat-Stipendium,,
AndreasMontag1990,,,
BerndtRieger1990,,,
CorneliaManikowsky1990,Stipendium der Kärntner Industrie,,
MargitSchreiner1990,,,
ErichMöchel1990,,,
BirgitVanderbeke1990,Bachmann,,
FriederikeKretzen1990,,,
ReinhardJirgl1990,,,
HubertKonradFrank1990,,,
GeorgBydlinski1990,,,
IngeborgHarms1990,Stipendium der Verlage,,
ChristaMoog1990,,,
GernotRagger1989,,,
NataschaWodin1989,,,
SabinePeters1989,Ernst Willner,,
BerndSchirmer1989,Stipendium der Verlage,,
AngelikaKlüssendorf1989,,,
EberhardHäfner1989,3sat-Stipendium,,
ChristophGeiser1989,,,
ThomasHettche1989,Stipendium der Kärntner Industrie,,
FranzMeisl1989,,,
GabiKachold1989,,,
AloisSchöpf1989,,,
KlausMerz1989,,,
PeterKurzeck1989,,,
KerstinHensel1989,,,
WolfgangHilbig1989,Bachmann,,
RolfNiederhauser1989,,,
HansjörgSchertenleib1989,,,
BrunoSteiger1989,,,
NorbertGstrein1989,Kärnten,,
MartinAhrends1989,,,
Split1989,,,
ElisabethReichart1988,,,
AngelaKrauß1988,Bachmann,,
HansEckardtWenzel1988,,,
JostNickel1988,,,
AnselmGlück1988,Preis des Landes Kärnten,,
GünterFranzen1988,,,
WolfgangdeBruyn1988,,,
FlavioSteimann1988,,,
RudolfBrun1988,,,
HartmutGeerken1988,,,
JochenLanger1988,,,
ChristophKeller1988,,,
WalterKlier1988,,,
KlausModick1988,,,
SylviaBrandis1988,Stipendium der Kärntner Industrie,,
MichaelWildenhain1988,Ernst-Willner-Preis,,
PeterHaffner1988,,,
AngelaPraesent1988,,,
AloisHaider1988,,,
BrigitteStruzyk1988,,,
AndreasNeumeister1988,,,
BernhardGierds1988,Stipendium der 23 Verlage,,
ErichWolfgangSkwara1987,,,
ClaudiaErdheim1987,,,
BarbaraHonigmann1987,,,
MariaSeidemann1987,,,
LindeRotta1987,,,
ManfredSeiler1987,,,
ManfredMaurer1987,,,
UweSaeger1987,Bachmann,,
JosephvonWestphalen1987,,,
FriedrichHahn1987,,,
JuttaHeinrich1987,,,
PaulusHochgatterer1987,,,
IrinaLiebmann1987,Ernst Willner,,
ClaudiaGuderian1987,,,
AnnaLanghoff1987,Stipendium der Kärntner Industrie,,
UrsulaAdamKabas1987,,,
UrsAllemann1987,,,
MartinStephan1987,,,
WernerFritsch1987,Kärnten,,
ThorstenBecker1986,,,
JochenBeyse1986,Preis der Kärntner Industrie,,
ChristianeBinderGasper1986,,,
DanielaCastner1986,,,
GerhardFalkner1986,,,
ZsuzsannaGahse1986,Preis der Stadt Wiesbaden,,
ArminGatterer1986,,,
EvelynGrill1986,,,
DanielGrolle1986,Ernst-Willner-Stipendium,,
LukasHammerstein1986,,,
WolfgangHermann1986,,,
BettinaKlix1986,,,
FriedrichWilhelmKorff1986,,,
FriederikeKretzen1986,,,
KatjaLangeMüller1986,Bachmann,,
HenrikeLeonhardt1986,,,
JostNickel1986,,,
AnitaPichler1986,,,
ArnulfPloder1986,Ernst-Willner-Stipendium,,
IngridPuganigg1986,Preis des Landes Kärnten,,
AndreasReiter1986,,,
NoraSchmitt1986,,,
LotharSchöne1986,,,
WalterVogl1986,,,
HartmutRiederer1985,,,
PeterGrosz1985,,,
HansMeyerHörstgen1985,,,
HeinzStalder1985,,,
MargritIrgang1985,,,
FritzHDinkelmann1985,,,
ElfiHartenstein1985,,,
WaltraudAnnaMitgutsch1985,,,
OskarvonReuth1985,,,
ElenaRichterich1985,,,
AngelikaStark1985,,,
GinkaSteinwachs1985,Preis der Kärntner Industrie,,
BirgitKempker1985,Preis des Landes Kärnten,,
LindaPfeiffer1985,,,
ElisabethPlessen1985,,,
LukasHartmann1985,,,
AssenAsenov1985,,,
JoachimScholz1985,,,
JosefEinwanger1985,,,
LilianFaschinger1985,Ernst-Willner-Stipendium,,
HermannBurger1985,Bachmann,,
DanteAndreaFranzetti1985,Ernst-Willner-Stipendium,,
GüntherFreitag1985,,,
GertHeidenreich1985,,,
JochenBeyse1984,,,
GerdPeterEigner1984,,,
WolfDieterEigner1984,,,
JörgFauser1984,,,
JosefHaslinger1984,,,
WolfgangHegewald1984,Preis der Industriellenvereinigung,,
MichaelKöhlmeier1984,,,
MarcelKonrad1984,,,
JörgKrichbaum1984,,,
HansJürgenKühn1984,,,
NorbertLoacker1984,,,
HelenMeier1984,Ernst-Willner-Stipendium,,
EYMeyer1984,,,
EricaPedretti1984,Bachmann,,
ErnstAlexanderRauter1984,,,
EvelynSchlag1984,,,
EvaSchmidt1984,,,
KristinTSchnider1984,,,
RenateSchostack1984,Sonderpreis der Klagenfurter Jury,,
BeatSterchi1984,,,
HaraldSträtz1984,,,
ThomasStrittmatter1984,Ernst-Willner-Stipendium,,
RalfThenior1984,,,
KetovonWaberer1984,,,
PeterWeibel1984,,,
GabrielleWeigand1984,,,
ErichLoest1983,,,
MonikaHelferFriedrich1983,,,
FrankWerner1983,,,
MartinRDean1983,,,
LibušeMoníková1983,,,
GodehardSchramm1983,,,
WolfgangLinder1983,Ernst-Willner-Stipendium,,
MartinMosebach1983,,,
HansjörgSchertenleib1983,,,
BirgitPausch1983,,,
LisaWitasek1983,,,
RomieLie1983,,,
RolandLang1983,,,
GerhardKöpf1983,Preis der Klagenfurter Jury,,
JanChrist1983,,,
WolfgangHeld1983,,,
RainaldGoetz1983,,,
ZsuzsannaGahse1983,,,
AlbanNikolaiHerbst1983,,,
BodoMorshäuser1983,Ernst-Willner-Stipendium,,
JochenMissfeldt1983,,,
GudrunBrug1983,,,
BettinaBlumenberg1983,,,
KarinReschke1983,,,
UweHerms1983,Preis der Kärntner Industrie,,
FriederikeRoth1983,Bachmann,,
MichaelSchneider1983,,,
AndreaWolfmayr1983,,,
BrigitteGutenbrunner1982,,,
JohannaWalser1982,,,
MatthiasZschokke1982,,,
EngelbertObernosterer1982,,,
ErasmusSchöfer1982,,,
BirgittaArens1982,Sonderpreis der Klagenfurter Jury,,
UdoRabsch1982,,,
GeraldSzyszkowitz1982,,,
WolfgangGeorgFischer1982,,,
RoswithaHamadani1982,,,
FriedrichWilhelmKorff1982,,,
JürgenLodemann1982,,,
EvaMariaAlves1982,,,
IrinaZaharescu1982,,,
WalterKlier1982,,,
UllaBerkéwicz1982,Stipendium der Verleger,,
LotharSchöne1982,,,
WalterVogl1982,Stipendium der Verleger,,
MichaelZeller1982,,,
GeraldZschorsch1982,,,
UweWolff1982,,,
HannsJosefOrtheil1982,,,
EinarSchleef1982,,,
RobertGratzer1982,,,
AlfredGulden1982,,,
JochenLink1982,,,
JuttaSchutting1982,,,
JürgAmann1982,Bachmann,,
EmilZopfi1981,,,
GuntramVesper1981,,,
PascalMorché1981,,,
ZbigniewKrempf1981,,,
MichaelRößner1981,,,
RolfNiederhauser1981,,,
UlrichSchacht1981,,,
IlmaRakusa1981,,,
ElfriedeCzurda1981,,,
FranzMechsner1981,von den Verlegern gestiftetes Stipendium,,
GünterHein1981,,,
UrsJaeggi1981,Bachmann,,
DominikBrun1981,von den Verlegern gestiftetes Stipendium,,
MargritSchriber1981,,,
ChristophBurgauner1981,,,
EvaDemski1981,Preis der Klagenfurter Jury,,
AndreasNohl1981,,,
PierreImhasly1981,,,
GiselaZies1981,,,
JosephZoderer1981,,,
KlausHoffer1981,,,
AdelheidDuvanel1981,,,
AntonDekan1981,,,
FrankWolfMatthies1981,,,
ThomasHürlimann1981,,,
ElisabethMeylan1981,,,
ChristophKubelka1981,,,
MajaBeutler1981,,,
UrsulaAdam1980,,,
ElisabethAlbertsen1980,,,
MargritBaur1980,,,
HansChristophBuch1980,,,
MargritvonDach1980,,,
HansDrawe1980,,,
RoderichFeldes1980,,,
WaltraudFriz1980,,,
AntonFuchs1980,,,
ChristophGeiser1980,,,
HenningGrunwald1980,,,
MartinGrzimek1980,,,
ChristineHaidegger1980,,,
MargareteJehn1980,,,
AnnaJonas1980,Verlegerpreis,,
HermannKinder1980,,,
BodoKirchhoff1980,,,
BrigitteKronauer1980,,,
JürgenLodemann1980,,,
KlausMerz1980,,,
StenNadolny1980,Bachmann,,
